"filename", "language", "Markdown", "TypeScript", "JSON", "JavaScript", "HTML", "pip requirements", "JSON with Comments", "TypeScript JSX", "Python", "CSS", "XML", "Docker", "comment", "blank", "total"
"/home/aarya/Projects/DDAS/phoenix/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 74
"/home/aarya/Projects/DDAS/phoenix/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"/home/aarya/Projects/DDAS/phoenix/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/aarya/Projects/DDAS/phoenix/src/components/AdminLogin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 9, 67
"/home/aarya/Projects/DDAS/phoenix/src/components/BuyerProfileChart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 4, 9, 73
"/home/aarya/Projects/DDAS/phoenix/src/components/ContactUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 5, 79
"/home/aarya/Projects/DDAS/phoenix/src/components/DashboardStatsGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 4, 73
"/home/aarya/Projects/DDAS/phoenix/src/components/FeatureSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 5, 78
"/home/aarya/Projects/DDAS/phoenix/src/components/FileTransferDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 0, 0, 1, 8, 298
"/home/aarya/Projects/DDAS/phoenix/src/components/Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 2, 32
"/home/aarya/Projects/DDAS/phoenix/src/components/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"/home/aarya/Projects/DDAS/phoenix/src/components/PopularProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 6, 91
"/home/aarya/Projects/DDAS/phoenix/src/components/RecentOrder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 9, 176
"/home/aarya/Projects/DDAS/phoenix/src/components/Transaction.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 3, 51
"/home/aarya/Projects/DDAS/phoenix/src/components/UserManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 10, 208
"/home/aarya/Projects/DDAS/phoenix/src/components/shared/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 4, 123
"/home/aarya/Projects/DDAS/phoenix/src/components/shared/Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 4, 26
"/home/aarya/Projects/DDAS/phoenix/src/components/shared/Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 9, 68
"/home/aarya/Projects/DDAS/phoenix/src/components/ui/background-beams.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 5, 142
"/home/aarya/Projects/DDAS/phoenix/src/components/ui/floating-navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/home/aarya/Projects/DDAS/phoenix/src/components/ui/navbar-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 6, 122
"/home/aarya/Projects/DDAS/phoenix/src/components/ui/wobble-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 4, 79
"/home/aarya/Projects/DDAS/phoenix/src/lib/constants/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/home/aarya/Projects/DDAS/phoenix/src/lib/helpers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 4, 56
"/home/aarya/Projects/DDAS/phoenix/src/lib/utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/aarya/Projects/DDAS/phoenix/tailwind.config.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"/home/aarya/Projects/DDAS/phoenix/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 67, 98, 10563, 126, 13, 90, 33, 2611, 1750, 99, 2, 8, 113, 687, 16260
